"# the first three columns must be ""cpu mhz"", ""sys mb"", and ""vid mb"", respectively",,,,,,,,,,,,,,,,,,,,,,,
# each subsequent column header is a cvar name,,,,,,,,,,,,,,,,,,,,,,,
"# each cvar gets the value listed in its column for the row of the system settings that most closely match the current machine, without going over",,,,,,,,,,,,,,,,,,,,,,,

cpu mhz,sys mb,vid mb,r_picmip,r_picmip2,r_mode,r_texturebits,r_dynamiclight,r_dlightQuality,r_lodscale,r_lodbias,r_fastsky,r_swapInterval,r_swapDelay,r_flares,r_fullscreen,r_texturemode,cg_brass,cg_marks,cg_shadows,cg_nopredict,mss_khz,g_useGear,ai_corpseCount
800,128,64,2,2,4,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,5
800,128,128,1,1,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,5
800,128,256,1,1,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,5
800,192,32,2,2,3,16,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,5
800,192,64,1,2,4,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,1,5
800,192,128,1,1,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,1,5
800,192,256,0,1,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,1,5
800,256,32,2,2,3,16,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,5
800,256,64,1,2,4,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,1,5
800,256,128,1,1,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,1,5
800,256,256,0,0,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,1,5
800,512,32,2,2,3,16,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,0,5
800,512,64,1,2,4,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,1,5
800,512,128,1,1,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,1,5
800,512,256,0,0,6,0,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,1,5

1200,128,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,0,11,0,10
1200,128,64,2,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,11,1,10
1200,128,128,1,1,6,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,11,1,10
1200,128,256,1,1,6,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,11,1,10
1200,192,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,0,22,0,10
1200,192,64,1,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,22,1,10
1200,192,128,1,1,6,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,22,1,10
1200,192,256,0,1,6,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,22,1,10
1200,256,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,0,22,0,10
1200,256,64,1,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,22,1,10
1200,256,128,1,1,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,22,1,10
1200,256,256,0,0,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,22,1,10
1200,512,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,0,44,0,10
1200,512,64,1,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,44,1,10
1200,512,128,1,1,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,44,1,10
1200,512,256,0,0,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,0,0,44,1,10

3000,128,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,1,0,11,0,20
3000,128,64,2,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,11,1,20
3000,128,128,1,1,6,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,11,1,20
3000,128,256,1,1,6,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,11,1,20
3000,192,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,1,0,22,0,20
3000,192,64,1,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,22,1,20
3000,192,128,1,1,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,22,1,20
3000,192,256,0,1,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,22,1,20
3000,256,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,1,0,22,0,20
3000,256,64,1,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,22,1,20
3000,256,128,1,1,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,22,1,20
3000,256,256,0,0,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,22,1,20
3000,512,32,2,2,3,16,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,0,0,1,0,44,0,20
3000,512,64,1,2,4,0,1,1,1,0,0,0,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,44,1,20
3000,512,128,1,1,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,44,1,20
3000,512,256,0,0,6,0,1,1,1,0,0,1,0,1,1,GL_LINEAR_MIPMAP_NEAREST,1,1,1,0,44,1,20
